"Date","Home","Away","HomeWins","HPassCmp","APassCmp","HPassAtt","APassAtt","HPassPct","APassPct","HPassYds","APassYds","HPassTD","APassTD","HRushAtt","ARushAtt","HRushYds","ARushYds","HRushAvg","ARushAvg","HRushTD","ARushTD","HXPM","AXPM","HXPA","AXPA","HXPPercent","AXPPercent","HFGM","AFGM","HFGA","AFGA","HFGPercent","AFGPercent","HKickPts","AKickPts","HFum","AFum","HInt","AInt","HTotalTO","ATotalTO"
"11/7/2015","North Carolina","Duke",1,28,20,40,40,70,50,537,206,4,1,40,44,167,327,4.2,7.4,5,3,9,4,9,4,100,100,1,1,1,1,100,100,12,7,0,1,0,2,0,3
"11/7/2015","Ohio State","Minnesota",1,12,27,22,45,54.5,60,187,281,1,2,44,26,189,33,4.3,1.3,2,0,4,2,4,2,100,100,0,0,1,1,0,0,4,2,1,0,0,1,1,1
"11/7/2015","Oklahoma","Iowa State",1,25,26,33,51,75.8,51,405,260,4,1,39,38,279,114,7.2,3,3,0,7,1,7,1,100,100,1,3,2,3,50,100,10,10,1,0,0,1,1,1
"11/7/2015","Oklahoma State","Texas Christian",1,18,35,27,58,66.7,60.3,375,445,5,1,26,52,81,218,3.1,4.2,1,3,7,2,7,3,100,66.7,0,1,0,2,NA,50,7,5,0,0,0,4,0,4
"11/7/2015","Oregon","California",1,17,18,29,42,58.6,42.9,300,329,4,2,63,24,477,103,7.6,4.3,1,1,5,2,5,2,100,100,3,2,3,2,100,100,14,8,0,0,2,1,2,1
"11/7/2015","Oregon State","UCLA",0,10,28,24,43,41.7,65.1,131,390,0,2,33,52,115,284,3.5,5.5,0,3,0,5,0,5,NA,100,0,2,0,2,NA,100,0,11,1,0,3,0,4,0
"11/7/2015","Purdue","Illinois",0,29,21,47,38,61.7,55.3,174,213,1,3,28,41,89,382,3.2,9.3,1,3,2,6,2,6,100,100,0,2,0,3,NA,66.7,2,12,0,0,2,0,2,0
"11/7/2015","Tennessee","South Carolina",1,20,20,34,39,58.8,51.3,255,233,2,3,41,40,153,152,3.7,3.8,1,0,3,3,3,3,100,100,2,1,2,2,100,50,9,6,2,1,1,0,3,1
"11/7/2015","Texas","Kansas",1,19,19,30,41,63.3,46.3,299,234,2,1,40,48,299,192,7.5,4,6,1,8,2,8,2,100,100,1,0,1,1,100,0,11,2,1,1,0,3,1,4
"11/7/2015","Texas A&M","Auburn",0,18,13,35,17,51.4,76.5,137,132,1,1,38,52,166,311,4.4,6,0,1,1,2,1,2,100,100,1,4,1,4,100,100,4,14,0,0,3,0,3,0
"11/7/2015","Troy","Louisiana-Monroe",1,24,24,36,42,66.7,57.1,345,262,4,2,35,35,148,114,4.2,3.3,0,0,6,2,6,2,100,100,3,0,4,0,75,NA,15,2,0,3,0,3,0,6
"11/7/2015","Washington","Utah",0,23,12,39,25,59,48,257,155,1,0,39,45,124,191,3.2,4.2,1,3,2,4,2,4,100,100,3,2,3,3,100,66.7,11,10,3,2,1,1,4,3
"11/7/2015","Washington State","Arizona State",1,36,28,55,45,65.5,62.2,497,256,5,0,17,42,15,202,0.9,4.8,0,3,5,3,5,3,100,100,1,1,1,1,100,100,8,6,0,1,1,1,1,2
"11/6/2015","San Jose State","Brigham Young",0,18,23,26,37,69.2,62.2,147,293,0,1,38,25,122,36,3.2,1.4,1,1,1,2,1,2,100,100,1,1,2,1,50,100,4,5,1,0,0,1,1,1
"11/5/2015","Appalachian State","Arkansas State",0,23,14,36,25,63.9,56,357,208,4,1,30,52,108,309,3.6,5.9,0,2,3,4,3,4,100,100,0,4,0,4,NA,100,3,16,2,0,1,0,3,0
"11/5/2015","Fresno State","Nevada",0,17,12,35,17,48.6,70.6,154,206,1,1,29,50,126,292,4.3,5.8,1,1,1,3,2,3,50,100,1,3,1,3,100,100,4,12,1,0,3,1,4,1
"11/5/2015","Kansas State","Baylor",0,13,23,23,33,56.5,69.7,172,419,1,3,48,34,258,103,5.4,3,2,1,3,4,3,4,100,100,1,1,1,2,100,50,6,7,1,0,2,0,3,0
"11/5/2015","Kent State","Buffalo",0,19,25,31,39,61.3,64.1,155,190,1,2,31,35,106,116,3.4,3.3,0,1,2,0,2,1,100,0,1,0,1,0,100,NA,5,0,0,0,1,1,1,1
"11/5/2015","Missouri","Mississippi State",0,11,27,26,41,42.3,65.9,107,303,0,4,45,36,215,127,4.8,3.5,1,0,1,4,1,4,100,100,2,1,2,2,100,50,7,7,0,2,2,0,2,2
"11/4/2015","Bowling Green State","Ohio",1,29,21,39,41,74.4,51.2,399,244,5,0,30,56,182,299,6.1,5.3,3,3,8,3,9,3,88.9,100,0,1,0,2,NA,50,8,6,0,0,0,2,0,2
"11/3/2015","Toledo","Northern Illinois",0,15,16,33,25,45.5,64,136,277,1,2,50,54,291,124,5.8,2.3,2,1,3,2,3,2,100,100,2,4,3,4,66.7,100,9,14,1,1,2,1,3,2
"10/31/2015","Appalachian State","Troy",1,16,29,26,43,61.5,67.4,184,310,2,1,58,45,248,140,4.3,3.1,2,4,5,5,5,5,100,100,3,2,3,2,100,100,14,11,0,0,1,2,1,2
